"year.group","scenario","tbmean","tbmin","tbmax","trophic_group"
2091,"RCP 8.5",0.599770635742,0.051058460295,1.8176509835,"Reef sharks"
2091,"Status quo",2.9655813324,2.36425349,4.173808035,"Reef sharks"
2092,"RCP 2.6",3.0014168048,2.14396134,4.22566299,"Reef sharks"
2092,"RCP 4.5",2.1648526784,1.391312095,3.610040765,"Reef sharks"
2092,"RCP 8.5",0.56270279108984,0.040532110425,1.744838477,"Reef sharks"
2092,"Status quo",2.9655813268,2.36425349,4.173808035,"Reef sharks"
2093,"RCP 2.6",3.0036540988,2.145903925,4.227199895,"Reef sharks"
2093,"RCP 4.5",2.1721273536,1.40444454,3.61071381,"Reef sharks"
2093,"RCP 8.5",0.5287487998042,0.03208267599,1.669590933,"Reef sharks"
2093,"Status quo",2.9655813264,2.36425349,4.173808035,"Reef sharks"
2094,"RCP 2.6",3.005022234,2.14723779,4.22785525,"Reef sharks"
2094,"RCP 4.5",2.1791550312,1.420383795,3.61125819,"Reef sharks"
2094,"RCP 8.5",0.50229197515192,0.025614425545,1.614817994,"Reef sharks"
2094,"Status quo",2.965581334,2.36425349,4.173808035,"Reef sharks"
2095,"RCP 2.6",3.0054459276,2.14715656,4.227750205,"Reef sharks"
2095,"RCP 4.5",2.1824720372,1.430627905,3.60970468,"Reef sharks"
2095,"RCP 8.5",0.48069047214608,0.0203580974165,1.5759191615,"Reef sharks"
2095,"Status quo",2.9655813476,2.36425349,4.173808035,"Reef sharks"
2096,"RCP 2.6",3.0055230864,2.14651229,4.22754025,"Reef sharks"
2096,"RCP 4.5",2.1751965224,1.426588635,3.600572035,"Reef sharks"
2096,"RCP 8.5",0.4570614170838,0.0158936337455,1.527495737,"Reef sharks"
2096,"Status quo",2.9655813596,2.36425349,4.173808035,"Reef sharks"
2097,"RCP 2.6",3.0035655696,2.14357237,4.2255146,"Reef sharks"
2097,"RCP 4.5",2.1624729884,1.410706555,3.58937274,"Reef sharks"
2097,"RCP 8.5",0.43046374194504,0.0121215930165,1.467133611,"Reef sharks"
2097,"Status quo",2.9655813792,2.36425349,4.173808035,"Reef sharks"
2098,"RCP 2.6",3.0000999996,2.138688865,4.222007805,"Reef sharks"
2098,"RCP 4.5",2.152352406,1.39656443,3.582377435,"Reef sharks"
2098,"RCP 8.5",0.401685360841048,0.008996761285,1.3961754405,"Reef sharks"
2098,"Status quo",2.9655813988,2.36425349,4.173808035,"Reef sharks"
2099,"RCP 2.6",2.9986528776,2.135711155,4.220174235,"Reef sharks"
2099,"RCP 4.5",2.1392983476,1.378301445,3.571889935,"Reef sharks"
2099,"RCP 8.5",0.377464303215624,0.0066719328225,1.34318125135,"Reef sharks"
2099,"Status quo",2.9655814176,2.36425349,4.173808035,"Reef sharks"
