"year.group","mean","percent_05","percent_95","scenario","species"
2017,0.08981332524,0.0764886805,0.103684085,"Status quo","X18"
2018,0.08824094256,0.0751523815,0.10199844,"Status quo","X18"
2019,0.08677983136,0.073779429,0.10044685,"Status quo","X18"
2020,0.0854703708,0.0725734655,0.0990695845,"Status quo","X18"
2021,0.08433837384,0.0715304765,0.0980441225,"Status quo","X18"
2022,0.08339258848,0.070666242,0.09719946,"Status quo","X18"
2023,0.0826283278,0.0701582015,0.096534639,"Status quo","X18"
2024,0.08203020804,0.069782686,0.0960511625,"Status quo","X18"
2025,0.0815769784,0.0694931025,0.0957130605,"Status quo","X18"
2026,0.08124507884,0.0691200665,0.0954667595,"Status quo","X18"
2027,0.08101026156,0.0687643755,0.095284391,"Status quo","X18"
2028,0.0808489398,0.068543414,0.0950823105,"Status quo","X18"
2029,0.08073977796,0.068418017,0.0949283225,"Status quo","X18"
2030,0.08066501788,0.0681588185,0.094807359,"Status quo","X18"
2031,0.08061111868,0.0680923305,0.0947226805,"Status quo","X18"
2032,0.0805686784,0.0680743775,0.0946651785,"Status quo","X18"
2033,0.08053186132,0.0680353405,0.0946226525,"Status quo","X18"
2034,0.08049758656,0.0679900805,0.094587767,"Status quo","X18"
2035,0.08046468352,0.067947405,0.094556222,"Status quo","X18"
2036,0.08043313604,0.067896088,0.094525751,"Status quo","X18"
2037,0.08040349024,0.067848133,0.094495586,"Status quo","X18"
2038,0.08037643284,0.067805011,0.0944659295,"Status quo","X18"
2039,0.0803525334,0.067767344,0.094437542,"Status quo","X18"
2040,0.08033210964,0.067735287,0.0944112365,"Status quo","X18"
2041,0.08031519896,0.0677086505,0.0943877785,"Status quo","X18"
2042,0.08030158584,0.0676869275,0.094367611,"Status quo","X18"
2043,0.08029087576,0.0676694645,0.094350894,"Status quo","X18"
2044,0.0802825702,0.067655525,0.094337488,"Status quo","X18"
2045,0.08027614816,0.0676444055,0.0943270355,"Status quo","X18"
2046,0.08027112328,0.0676354565,0.094319077,"Status quo","X18"
